Players,Opening,Result,Moves,Year
Paul Morphy (2690) Morphy Ernest,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Main Line, 4...d6
                          ",1-0,20,1849
Paul Morphy (2690) Mcconell L Honorary,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Long Whip Defense, 6.Bc4 Rh7 7.d4
                          ",1-0,29,1849
Paul Morphy (2690) Morphy A,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",1-0,21,1849
Paul Morphy (2690) Morphy A,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",1-0,46,1849
Paul Morphy (2690) Rousseau Emmanuel,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Allgaier Gambit, 5...h6 6.Nxf7 Kxf7 7.Qxg4
                          ",1-0,17,1849
Paul Morphy (2690) Rousseau Emmanuel,"1. e4 e5 2. Nf3 Nc6 3. Bc4 f5 Italian Game: Rousseau Gambit
                          ",1-0,23,1849
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 c5 2. f4 e6 3. Nf3 d5 Sicilian Defense: McDonnell Attack, 2...e6 3.Nf3
                          ",1-0,49,1850
Paul Morphy (2690) Morphy Ernest,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense, 7.O-O
                          ",1-0,25,1850
Paul Morphy (2690) Ayers T,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Bronstein, Tartakower Attack
                          ",1-0,26,1855
Paul Morphy (2690) Meek A,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Philidor Gambit
                          ",1-0,18,1855
Paul Morphy (2690) Morphy Ernest,"1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 Ruy López Opening: Classical, Central Variation, Boden Variation
                          ",1-0,19,1856
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange, Morphy Gambit
                          ",1-0,29,1857
Paul Morphy (2690) Meek A,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6 7.d4
                          ",1-0,33,1857
Paul Morphy (2690) Lichtenhein T,"1. e4 e5 2. f4 exf4 3. Nf3 d5 King's Gambit Accepted: Modern Defense, 4.exd5
                          ",1-0,28,1857
Paul Morphy (2690) Lichtenhein T,"1. e4 e5 2. Bc4 Nf6 3. Nf3 Nxe4 Vienna Game: Frankenstein-Dracula, Boden-Kieseritzky, Lichtenhein Defense
                          ",1-0,29,1857
Paul Morphy (2690) Lichtenhein T,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",1-0,26,1857
Paul Morphy (2690) Meek A,"1. e4 e6 2. d4 c5 3. d5 e5 Old Benoni Defense: Franco-Benoni Defense
                          ",1-0,12,1857
Paul Morphy (2690) Meek A,"1. e4 e6 2. d4 g6 3. Bd3 Bg7 French Defense: Normal Variation
                          ",1-0,30,1857
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 c5 2. Nf3 e6 3. d4 cxd4 Sicilian Defense: Paulsen-Basman Defense
                          ",1-0,64,1857
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 c5 2. Nf3 e6 3. d4 cxd4 Sicilian Defense: Paulsen-Basman Defense
                          ",1-0,26,1857
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 c5 2. d4 cxd4 3. Nf3 e6 Sicilian Defense: Paulsen-Basman Defense
                          ",1-0,36,1857
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 e5 2. Nf3 d5 3. exd5 e4 King's Pawn Opening: King's Knight, Elephant, Paulsen Countergambit
                          ",1-0,54,1857
Paul Morphy (2690) Perrin F,"1. e4 c5 2. Nf3 e6 3. d4 cxd4 Sicilian Defense: Taimanov Variation
                          ",1-0,26,1857
